ts,open,high,low,close,volume
1672272000000,16538.9,16588.6,16485.1,16553.2,34024.879
1672286400000,16553.1,16575.3,16529.5,16553.0,22366.398
1672300800000,16553.0,16628.6,16514.6,16593.8,40553.131
1672315200000,16593.8,16659.0,16584.0,16610.1,52351.625
1672329600000,16610.1,16647.8,16589.0,16608.1,26803.582
1672344000000,16608.0,16649.0,16551.0,16630.3,32491.916
1672358400000,16630.3,16641.1,16576.3,16593.9,19882.213
1672372800000,16593.9,16608.5,16410.0,16467.5,62732.71
1672387200000,16467.6,16524.9,16453.0,16489.5,38916.057
1672401600000,16489.6,16568.5,16320.0,16547.7,104487.149
1672416000000,16547.7,16569.8,16510.0,16520.8,34830.474
1672430400000,16520.8,16666.6,16520.5,16601.2,34781.887
1672444800000,16601.2,16611.5,16546.5,16549.1,15952.362
1672459200000,16549.0,16565.6,16530.0,16564.4,15304.144
1672473600000,16564.4,16581.8,16538.0,16565.6,18890.316
1672488000000,16565.5,16640.0,16546.2,16586.0,37418.928
1672502400000,16586.1,16609.3,16562.0,16564.3,15398.52
1672516800000,16564.3,16569.7,16461.8,16537.6,31497.886
1672531200000,16537.5,16557.1,16504.0,16529.3,14206.373
1672545600000,16529.2,16545.7,16488.0,16519.6,17998.501
1672560000000,16519.5,16549.8,16496.8,16549.8,15117.276
1672574400000,16549.8,16565.9,16524.6,16553.1,15542.884
1672588800000,16553.0,16615.8,16552.6,16596.1,25971.416
1672603200000,16596.1,16618.8,16579.1,16610.3,16666.515
1672617600000,16610.4,16700.7,16541.2,16654.6,36641.746
1672632000000,16654.7,16767.8,16612.8,16712.5,53335.472
1672646400000,16712.6,16764.0,16696.0,16728.5,37550.631
1672660800000,16728.4,16744.8,16665.0,16729.2,35861.236
1672675200000,16729.2,16732.9,16702.6,16730.5,16549.997
1672689600000,16730.5,16799.0,16650.0,16666.0,35222.094
1672704000000,16665.9,16699.7,16639.5,16684.5,22052.463
1672718400000,16684.4,16774.0,16675.2,16723.1,29397.355
1672732800000,16723.1,16750.5,16691.7,16714.2,22008.402
1672747200000,16714.2,16764.9,16610.0,16670.8,73811.27
1672761600000,16670.9,16680.1,16600.3,16637.7,35119.476
1672776000000,16637.6,16688.2,16636.0,16667.2,20681.239
1672790400000,16667.3,16870.0,16645.7,16855.9,70080.094
1672804800000,16855.9,16904.4,16832.3,16862.5,44883.714
1672819200000,16862.5,16913.6,16824.5,16826.8,34682.195
1672833600000,16826.7,16852.1,16759.3,16846.5,60474.144
1672848000000,16846.5,16984.6,16777.7,16835.9,109451.837
1672862400000,16835.9,16860.9,16766.0,16842.1,30175.854
1672876800000,16842.2,16869.0,16800.0,16819.0,19519.003
1672891200000,16819.0,16840.7,16782.4,16816.1,16536.812
1672905600000,16816.1,16830.0,16775.1,16827.0,23157.987
1672920000000,16827.0,16872.8,16740.4,16836.6,68886.546
1672934400000,16836.7,16867.8,16794.0,16856.4,29189.477
1672948800000,16856.3,16863.4,16810.0,16823.8,19079.522
1672963200000,16823.8,16865.0,16795.6,16825.1,21068.091
1672977600000,16825.0,16828.0,16773.0,16785.6,23858.147
1672992000000,16785.6,16805.3,16685.2,16731.4,43531.809
1673006400000,16731.5,16843.0,16664.8,16834.2,102292.922
1673020800000,16834.1,16960.0,16801.6,16932.6,57987.086
1673035200000,16932.7,17030.0,16881.0,16943.8,68235.574
1673049600000,16943.9,16973.6,16924.8,16944.4,18044.048
1673064000000,16944.3,16945.0,16915.8,16939.8,10556.131
1673078400000,16939.8,16946.4,16903.0,16912.3,13458.257
1673092800000,16912.3,16944.0,16900.1,16934.5,16729.551
1673107200000,16934.5,16939.6,16910.4,16937.3,9360.224
1673121600000,16937.3,16945.8,16922.9,16936.5,9824.894
1673136000000,16936.5,16949.3,16905.0,16939.0,15067.481
1673150400000,16938.9,16947.5,16927.5,16945.5,7997.895
1673164800000,16945.5,16960.0,16917.8,16918.6,15529.951
1673179200000,16918.5,17015.6,16912.7,16991.0,27054.754
1673193600000,16990.9,17015.1,16910.2,16920.3,31184.044
1673208000000,16920.3,17181.1,16916.5,17124.7,60883.193
1673222400000,17124.6,17245.1,17098.2,17188.1,85195.766
1673236800000,17188.1,17248.0,17171.7,17189.7,35863.212
1673251200000,17189.8,17277.7,17180.0,17232.2,50754.112
1673265600000,17232.2,17325.0,17181.9,17260.4,80374.648
1673280000000,17260.4,17387.8,17259.6,17285.7,77463.239
1673294400000,17285.6,17302.3,17118.3,17169.7,70626.832
1673308800000,17169.6,17227.7,17140.4,17199.9,27484.953
1673323200000,17199.9,17228.0,17181.8,17194.7,18254.506
1673337600000,17194.6,17278.0,17181.2,17244.4,37043.974
1673352000000,17244.3,17368.7,17204.4,17317.5,92804.006
1673366400000,17317.6,17448.0,17273.3,17424.1,73564.943
1673380800000,17424.1,17485.4,17393.3,17428.8,48167.989
1673395200000,17428.8,17500.0,17360.0,17407.7,42391.318
1673409600000,17407.7,17456.0,17380.0,17437.1,25910.734
1673424000000,17437.1,17464.0,17399.5,17428.7,24797.868
1673438400000,17428.6,17429.7,17306.4,17325.3,62512.096
1673452800000,17325.2,17550.9,17320.3,17540.6,86222.612
1673467200000,17540.7,18013.2,17501.4,17935.7,144442.478
1673481600000,17935.6,18400.0,17902.4,18217.2,167796.474
1673496000000,18217.1,18233.0,18070.0,18129.3,51547.124
1673510400000,18129.2,18220.0,18062.0,18194.5,45869.521
1673524800000,18194.4,18377.4,17907.3,18077.7,322077.479
1673539200000,18077.6,19062.5,18045.7,18877.2,328471.599
1673553600000,18877.3,19120.0,18758.5,18838.0,124572.563
1673568000000,18838.1,18881.7,18711.0,18871.6,48452.132
1673582400000,18871.5,18875.4,18770.5,18817.7,30968.56
1673596800000,18817.7,19050.0,18803.9,18911.7,102429.252
1673611200000,18911.7,19299.2,18801.4,19252.5,200754.386
1673625600000,19252.6,19398.0,19053.0,19354.2,170550.15
1673640000000,19354.1,19997.8,19307.4,19924.2,253653.352
1673654400000,19924.3,21544.0,19882.6,20996.3,400698.97
1673668800000,20996.2,21060.0,20801.3,20913.1,75865.279
1673683200000,20913.0,21045.0,20257.3,20733.4,208916.952
1673697600000,20733.3,21240.0,20544.0,20796.9,186889.05
1673712000000,20796.9,20930.5,20670.7,20796.8,78649.063
1673726400000,20796.8,21092.0,20773.9,20962.8,59647.369
1673740800000,20962.8,21012.0,20556.0,20736.5,96644.108
1673755200000,20736.5,20798.0,20673.9,20750.0,34775.593
1673769600000,20750.1,20780.0,20581.4,20737.4,63521.557
1673784000000,20737.4,21028.0,20661.1,20925.0,82803.419
1673798400000,20925.0,21073.8,20670.0,20877.2,106046.834
1673812800000,20877.3,20970.0,20750.0,20882.7,44695.048
1673827200000,20882.7,21449.3,20780.2,21084.3,175273.721
1673841600000,21084.3,21276.0,21048.0,21116.0,55958.607
1673856000000,21116.0,21121.7,20619.0,20821.7,101732.641
1673870400000,20821.8,21079.9,20606.6,21000.6,114395.111
1673884800000,21000.6,21431.0,20921.0,21314.4,133530.799
1673899200000,21314.5,21498.0,21056.0,21188.3,85257.322
1673913600000,21188.2,21308.9,20827.8,21129.6,81669.204
1673928000000,21129.6,21237.0,21062.1,21134.7,40393.627
1673942400000,21134.8,21252.0,21077.7,21218.6,49711.091
1673956800000,21218.6,21640.0,21024.3,21175.6,233119.434
1673971200000,21175.7,21426.0,21080.3,21337.2,86362.443
1673985600000,21337.3,21410.8,21123.1,21130.9,56134.794
1674000000000,21130.8,21376.3,21103.6,21254.1,58477.632
1674014400000,21254.1,21317.9,21226.6,21307.7,26297.724
1674028800000,21307.8,21318.1,21132.1,21201.6,45098.726
1674043200000,21201.7,21672.0,20810.0,21035.5,269472.012
1674057600000,21035.5,21138.0,20386.0,20905.1,320910.719
1674072000000,20905.0,20937.8,20621.1,20680.0,93528.704
